מחזור,קבוצת_ווטסאפ,chatId_ווטסאפ,תאריך_מפגש,שעה,סוג_מפגש,לינק_זום,מדיה_מצורפת,הערות
מחזור 5,מחזור 5 - המהלך השיווקי (הכרזות - 11 חברים - אומת ב-2026-07-17),120363410195771366@g.us,2026-07-20,10:00,פרונטלי-1,,וידאו/סרטון-הגעה-לכיתת-נגב.mp4,בני ברק | 10:00-15:00
מחזור 5,מחזור 5 - המהלך השיווקי (הכרזות - 11 חברים - אומת ב-2026-07-17),120363410195771366@g.us,2026-08-03,10:00,פרונטלי-2,,,בני ברק | 10:00-15:00 | ⚠️ אין עדיין תבנית פרונטלי-2
מחזור 5,מחזור 5 - המהלך השיווקי (הכרזות - 11 חברים - אומת ב-2026-07-17),120363410195771366@g.us,2026-08-10,10:00,זום-שבועי,,,זום | 10:00-14:00
מחזור 5,מחזור 5 - המהלך השיווקי (הכרזות - 11 חברים - אומת ב-2026-07-17),120363410195771366@g.us,2026-08-24,10:00,זום-שבועי,,,זום | 10:00-14:00
מחזור 5,מחזור 5 - המהלך השיווקי (הכרזות - 11 חברים - אומת ב-2026-07-17),120363410195771366@g.us,2026-09-07,10:00,פרונטלי-3,,,בני ברק | 10:00-14:00 | ⚠️ אין עדיין תבנית פרונטלי-3
מחזור 5,מחזור 5 - המהלך השיווקי (הכרזות - 11 חברים - אומת ב-2026-07-17),120363410195771366@g.us,2026-09-14,10:00,זום-שבועי,,,זום | 10:00-14:00
מחזור 5,מחזור 5 - המהלך השיווקי (הכרזות - 11 חברים - אומת ב-2026-07-17),120363410195771366@g.us,2026-09-28,10:00,זום-שבועי,,,זום | 10:00-14:00
מחזור 5,מחזור 5 - המהלך השיווקי (הכרזות - 11 חברים - אומת ב-2026-07-17),120363410195771366@g.us,2026-10-26,10:00,פרונטלי-4,,,בני ברק | 10:00-15:00 | ⚠️ אין עדיין תבנית פרונטלי-4
מחזור 6,טרם נפתחה קבוצה - לעדכן כשתיפתח,,2026-08-18,10:00,פרונטלי-1,,וידאו/סרטון-הגעה-לכיתת-נגב.mp4,בני ברק | 10:00-15:00
מחזור 6,טרם נפתחה קבוצה - לעדכן כשתיפתח,,2026-08-31,10:00,פרונטלי-2,,,בני ברק | 10:00-15:00 | ⚠️ אין עדיין תבנית פרונטלי-2
מחזור 6,טרם נפתחה קבוצה - לעדכן כשתיפתח,,2026-09-08,10:00,זום-שבועי,,,זום | 10:00-14:00
מחזור 6,טרם נפתחה קבוצה - לעדכן כשתיפתח,,2026-09-22,10:00,זום-שבועי,,,זום | 10:00-14:00
מחזור 6,טרם נפתחה קבוצה - לעדכן כשתיפתח,,2026-10-06,10:00,פרונטלי-3,,,בני ברק | 10:00-15:00 | ⚠️ אין עדיין תבנית פרונטלי-3
מחזור 6,טרם נפתחה קבוצה - לעדכן כשתיפתח,,2026-10-13,10:00,זום-שבועי,,,זום | 10:00-14:00
מחזור 6,טרם נפתחה קבוצה - לעדכן כשתיפתח,,2026-10-27,10:00,זום-שבועי,,,זום | 10:00-14:00
מחזור 6,טרם נפתחה קבוצה - לעדכן כשתיפתח,,2026-11-17,10:00,פרונטלי-4,,,בני ברק | 10:00-15:00 | ⚠️ אין עדיין תבנית פרונטלי-4
